guid,sentence,translation,freq ranks,audio,tags
Lvt#c/o>=@,Tom og Mary spiller næsten altid tennis efter skole.,Tom and Mary almost always play tennis after school.,[ 80 16 75 215 133 94 545 105 300 ], [sound:googletts-a1906bc0-013fdfb4-0725ad53-ae121c8a-5dd699e9.mp3],CardType::Sentence
v}|*.I}:w[,"Jeg er på arbejde nu, så jeg vil ringe dig op senere.","I'm at work now, so I'll call you later.",[ 11 1 9 210 160 21 11 20 602 31 68 ], [sound:googletts-5ee15d2b-47cdb109-56153115-49db6fae-c03bb66a.mp3],CardType::Sentence
j_?eO4k_SP,Jeg er ikke din søn.,I'm not your son.,[ 11 1 5 30 387 ], [sound:googletts-e384696e-15e45d95-2d2ca40f-a6bf5ef4-cde82ae2.mp3],CardType::Sentence
c}p^W}!NJF,Hvor ventede du på dem?,Where did you wait for them?,[ 93 403 7 9 171 ], [sound:googletts-8217c254-efc2d707-8008f1ad-cb6b478a-f646e884.mp3],CardType::Sentence
taJ^NV|~P&,Jeg købte bogen i går.,I bought the book yesterday.,[ 11 106 417 4 43 ], [sound:googletts-9c7f0ebc-b51d9447-153feb65-41eeb105-3b550052.mp3],CardType::Sentence
tV_9cICc#P,Hun var meget stolt af sin far.,She was very proud of her father.,[ 39 18 29 501 14 32 142 ], [sound:googletts-e22e801e-8731f074-bef04385-8b8e90e5-82e2144c.mp3],CardType::Sentence
eYj}+#Yn8=,Tom sidder og spiser.,Tom's eating.,[ 80 393 16 119 ], [sound:googletts-798fd0d7-9b274a25-1272ce97-338033bb-df8f958e.mp3],CardType::Sentence
o_Tbp@Z_yV,Hvor meget har du betalt for den?,How much did you pay for that?,[ 93 29 6 7 521 10 24 ], [sound:googletts-942e16d9-f73f2e7f-cb2b681b-a219cf50-c966c0c6.mp3],CardType::Sentence
DqFoBiiriV,Jeg har noget at fortælle dig.,I have something to tell you.,[ 11 6 41 3 453 31 ], [sound:googletts-5597c191-3e110c3c-22193fab-5bd9284f-5fadce62.mp3],CardType::Sentence
B$Ar?t`=9/,Tom skulle være hjemme nu.,Tom should be home now.,[ 80 125 40 479 160 ], [sound:googletts-f13ce55b-517b5bb2-e7bde57d-3647d84d-61f78f16.mp3],CardType::Sentence
m~[Kicgw:6,Du må lære af dine fejl.,You must learn from mistakes.,[ 7 102 121 14 99 504 ], [sound:googletts-f7224195-ae5282bf-52509e29-a0bd6740-742936bd.mp3],CardType::Sentence
CMeqhj0o![,Du ser altid tv.,You are always watching TV.,[ 7 59 94 376 ], [sound:googletts-92483797-a8fac5d3-613c659e-5248436d-6159a5f0.mp3],CardType::Sentence
te#e}&@%Va,Han blev meget fuld.,He got very drunk.,[ 23 35 29 353 ], [sound:googletts-ba93b64f-a22df5b6-2c9c5dfb-46e778b7-cf662a6e.mp3],CardType::Sentence
C=F(k>k_x^,Hvor åbnede du dem?,Where did you open them?,[ 93 416 7 171 ], [sound:googletts-d72b0044-694585a0-64d0d400-6685d749-8ad39b36.mp3],CardType::Sentence
b>E!PF?-(z,Jeg ville gerne gifte mig med en som hende.,I would like to marry somebody like her.,[ 11 65 189 584 19 17 2 27 91 ], [sound:googletts-6f0a1e4c-432076ea-1f05daf1-6a4189cc-1770ebfa.mp3],CardType::Sentence
mQnCENwa?o,Denne te er meget god.,This tea is very good.,[ 52 424 1 29 84 ], [sound:googletts-b71e6c31-e03ad9d0-9052f574-db2608f2-3037c404.mp3],CardType::Sentence
DuL3_[SQq0,Mary var smuk.,Mary was beautiful.,[ 75 18 322 ], [sound:googletts-a6cd21cb-2dd31d45-12a1fd93-e99947ee-b125b97a.mp3],CardType::Sentence
"nbc.-PB,S",Du kan ikke have den hat på til skole.,You can't wear that hat to school.,[ 7 13 5 53 24 443 9 8 300 ], [sound:googletts-d6ac8821-e76c3cfb-37c9512b-9230c4ee-ec334b93.mp3],CardType::Sentence
coby%n:#<Q,Vi ejer en hund og en kat.,We own a dog and a cat.,[ 46 547 2 127 16 2 117 ], [sound:googletts-a8537107-728e52fd-0807a707-85aa8ebe-cd0df671.mp3],CardType::Sentence
K5444)6Ad?,Hvilken vej skal jeg gå?,Which way should I go?,[ 337 286 79 11 77 ], [sound:googletts-3b57fa28-7f739fe2-f6ef2906-0b18a6fd-d2d60fcb.mp3],CardType::Sentence
zz!0KWY=l!,Jeg kan ikke leve uden tv.,I can't live without TV.,[ 11 13 5 247 143 376 ], [sound:googletts-c15ad891-71929f71-cdad9b4e-d0f76545-49f18b3f.mp3],CardType::Sentence
Cu}e_wB[g1,Det er let for os at lave mange fejl.,It is easy for us to make many mistakes.,[ 12 1 219 10 73 3 182 51 504 ], [sound:googletts-62333bf5-c7ff2d8c-3ff25bd1-8f26e0d4-f531bf78.mp3],CardType::Sentence
NVS2._Mj&d,Jeg elsker denne by.,I love this town.,[ 11 57 52 368 ], [sound:googletts-e6ac2313-fcba8cdc-855694b5-47166240-001eee4c.mp3],CardType::Sentence
DLG=]raV@+,Hvor er mit ur?,Where is my watch?,[ 93 1 62 381 ], [sound:googletts-fd48f5d8-700de90f-270162d3-276aa4a4-6bfd0022.mp3],CardType::Sentence
kF3Wfa&VzY,Mit værelse er meget lille.,My room is very small.,[ 62 422 1 29 154 ], [sound:googletts-d650a21c-1a7a060a-287c39b5-1855d9f9-e97cd28e.mp3],CardType::Sentence
dnV0A2+;dk,Tom ønsker at købe en gave til Mary.,Tom wants to buy a present for Mary.,[ 80 56 3 198 2 537 8 75 ], [sound:googletts-e3742d66-aa605b5f-ae752e95-0ebbece0-df259cf4.mp3],CardType::Sentence
py^R![hX=I,Hun har mange engelske bøger.,She has a lot of English books.,[ 39 6 51 323 257 ], [sound:googletts-73d4b842-41242f3d-a8cf966c-945732ff-8187de0f.mp3],CardType::Sentence
JGgbs{M^I=,Jeg vil ikke ønske at være i hendes sko.,I wouldn't like to be in her shoes.,[ 11 20 5 317 3 40 4 97 451 ], [sound:googletts-1b30d4f3-fe5da744-d134d1b2-b721071c-688b4693.mp3],CardType::Sentence
lq?Usu_CUM,Hun er allerede gået i skole.,She has already gone to school.,[ 39 1 141 348 4 300 ], [sound:googletts-8256b20f-1b838ff5-613f24d2-2a829c09-4c7aeb43.mp3],CardType::Sentence
c6&/+hphO,Hvad er der i vejen med dig.,What's the matter with you?,[ 38 1 28 4 528 17 31 ], [sound:googletts-66493010-059982f3-ebc6f50f-8ad54a20-24d1055c.mp3],CardType::Sentence
br[O*Mn%C+,"Jeg ved, hvor farligt det kan være at være sammen med hende.",I know how dangerous it can be to be with her.,[ 11 26 93 511 12 13 40 3 40 383 17 ], [sound:googletts-ccc1a918-7e8e4279-f702c95d-ae9b7ebc-25d850c5.mp3],CardType::Sentence
x<n_sUIp96,Jeg er træt af at høre det.,I am tired of hearing that.,[ 11 1 432 14 3 195 12 ], [sound:googletts-9eb0bf88-1c346b0d-ce1a0696-3f09d961-036daa59.mp3],CardType::Sentence
Mw[SV;!leK,Det er ikke koldt i dag.,It is not cold today.,[ 12 1 5 471 4 87 ], [sound:googletts-33f0f420-13af9c26-89aee639-3a7b8c40-7602b57e.mp3],CardType::Sentence
G&vEx#k(^h,Tom bad Mary om at åbne vinduet flere gange,Tom asked Mary several times to open the window.,[ 80 266 151 224 75 326 570 ],[sound:googletts-54f6eace-571090e5-f286c499-34001851-9cd2a223.mp3],CardType::Sentence
y8dg#5?#F`,Vil du have en kop kaffe?,Do you want a cup of coffee?,[ 20 7 53 2 382 221 ], [sound:googletts-a4c290bf-8c82afd1-7652744a-bd962a52-ac5c28f1.mp3],CardType::Sentence
K(iz=R7>rY,Hans navn er kendt af alle i denne by.,His name is known to everyone in this town.,[ 72 204 1 380 14 70 4 52 368 ], [sound:googletts-e9d1be13-ed27e7c9-79ab770e-7dc209a2-40803fef.mp3],CardType::Sentence
NVE;QO7iez,Jeg lærte at leve uden hende.,I learned to live without her.,[ 11 441 3 247 143 91 ], [sound:googletts-add554cb-94d5ada7-97db85fb-09c3bfe6-bb298484.mp3],CardType::Sentence
Oh:SJ89r-h,"Taler han engelsk, fransk eller tysk?","Is he speaking English, French, or German?",[ 49 23 276 100 76 413 ], [sound:googletts-80d89bbf-363e38d4-4743dc4e-e1fc2e9f-b62a5494.mp3],CardType::Sentence
"w,;wyN$Cxg",Det er godt at være hjemme.,It's good to be home.,[ 12 1 78 3 40 479 ], [sound:googletts-e3b69477-fd7dec7c-09e3feb6-7f6f3aa2-c47795ed.mp3],CardType::Sentence
KLWD+TTNvU,Vi vil vente på jer der.,We'll wait for you there.,[ 46 20 343 9 274 28 ], [sound:googletts-19b08731-904d65cf-357cba24-3d97446b-06d26939.mp3],CardType::Sentence
m&Oi+Px5yo,Jeg havde nogle problemer med at finde hendes hus i går.,I had some trouble finding her house yesterday.,[ 11 60 122 683 17 3 188 97 214 4 43 ], [sound:googletts-23db2299-a52cf451-5dbe10b5-47e17a93-77085b63.mp3],CardType::Sentence
m}[K_0toeE,Vil du have te eller kaffe?,Would you like tea or coffee?,[ 20 7 53 424 76 221 ], [sound:googletts-697394a2-c76ecda8-8fbf0fcf-bbe51d87-51fba6ff.mp3],CardType::Sentence
MsPSqW6ezy,Enhver laver fejl.,Everyone makes mistakes.,[ 379 158 504 ], [sound:googletts-593abd04-973b5604-b12bee7b-667c1902-8ad6e995.mp3],CardType::Sentence
A@+r1=u&ca,Vil I have te eller kaffe?,Would you like tea or coffee?,[ 20 4 53 424 76 221 ], [sound:googletts-418f1a0c-7db5c49b-2dd8c161-cc3dbbf0-117866a2.mp3],CardType::Sentence
fizT1)E#dL,Tom er høj.,Tom is tall.,[ 80 1 325 ], [sound:googletts-05df9c10-6251dc1b-bd0de8d5-1af2a766-67a7ec7d.mp3],CardType::Sentence
jyT#svWsiQ,Hvad med en kop kaffe til?,How about another cup of coffee?,[ 38 17 2 382 221 8 ], [sound:googletts-07f364b2-871c3bd2-407cb56e-fbb7fb65-e0414a8f.mp3],CardType::Sentence
piA&Brt_Ch,Du bør gøre noget ved dit hår.,You should do something with your hair.,[ 7 296 115 41 26 89 438 ], [sound:googletts-2f3a53cc-5cf94eab-e0e540be-5274be23-a9d38a57.mp3],CardType::Sentence
PO`G>tc#IS,Jeg bad ham lave te.,I asked him to make tea.,[ 11 266 47 182 424 ], [sound:googletts-9b748789-49b3c7fe-aa3458c8-30c1fe4e-677abda3.mp3],CardType::Sentence
P7I`K+1D1f,Jeg vil være tilbage på mindre en fem minutter.,I will be back in less than five minutes.,[ 11 20 40 239 9 335 2 173 350 ], [sound:googletts-c32c5d98-f9cbb98e-b4c220a9-63fae079-ea3a6d4d.mp3],CardType::Sentence
GgWpo/n):p,Jeg læser ofte.,I often read.,[ 11 384 211 ], [sound:googletts-c3a98ce0-9b7f63a3-c2615abd-ac5e8a10-ce84d627.mp3],CardType::Sentence
fhvAW{$:*5,Jeg køber en ny.,I'll buy a new one.,[ 11 349 2 174 ], [sound:googletts-e097d687-b8abc40c-39293f87-4c01c179-c13803f2.mp3],CardType::Sentence
e/wR%MdSxF,Han har ikke mindre end fem engelske bøger.,He has no less than five English books.,[ 23 6 5 335 34 173 323 257 ], [sound:googletts-1da5a35e-99421a12-accc8be7-cda397fc-aaa6e38d.mp3],CardType::Sentence
M.wID=:hOO,Vi har stadig masser af tid.,We still have plenty of time.,[ 46 6 180 500 14 153 ], [sound:googletts-4534295f-54992555-d842c464-3b39f967-e7bf8b73.mp3],CardType::Sentence
oKd]33g}3;,Du ved jeg ikke kan lide æg.,You know that I don't like eggs.,[ 7 26 11 5 13 33 538 ], [sound:googletts-03e89de7-3f8b7f22-581c202b-501343e3-ce444fd0.mp3],CardType::Sentence
D&TxALTD)+,Du kan ikke dræbe os alle.,You can't kill us all.,[ 7 13 5 494 73 70 ], [sound:googletts-caf55f3e-15dd1bb0-01757173-04a1c5c6-9364746f.mp3],CardType::Sentence
"nM8S8CZK,8",Er du begyndt at lære engelsk?,Have you begun studying English?,[ 1 7 366 3 121 276 ], [sound:googletts-42020951-2316cb31-00c6eeff-70307036-b9f41301.mp3],CardType::Sentence
A;Q|;P>T?b,Jeg bør læse bogen.,I should read the book.,[ 11 296 190 417 ], [sound:googletts-d3779d46-8ad9dba2-c1eafc9a-3a1968ec-f2ef4eb7.mp3],CardType::Sentence
vl46H^V&<l,Han ved ikke hvad det vil sige at være fattig.,He doesn't know what it is to be poor.,[ 23 26 5 38 12 20 126 3 40 716 ], [sound:googletts-0e92da93-aef59045-ae7b1cac-23fbd92c-b86e9a27.mp3],CardType::Sentence
QJ+QEe!$5?,I kan ikke dræbe os alle.,You can't kill us all.,[ 4 13 5 494 73 70 ], [sound:googletts-554ea717-2e982e31-e8b31467-313364d1-67bf661b.mp3],CardType::Sentence
b(!_gpeZpm,Jeg er træt af fransk.,I'm sick of French.,[ 11 1 432 14 100 ], [sound:googletts-5fc43cb1-05d8b13b-122392ec-01a654f3-344f2308.mp3],CardType::Sentence
d!i5Zflf9y,Tom og Mary venter.,Tom and Mary are waiting.,[ 80 16 75 399 ], [sound:googletts-b9215445-548301e9-407497e5-37b85554-e1ab0355.mp3],CardType::Sentence
p!bw[u<W&c,Han siger altid dårlige ting om sin kone.,He's always saying bad things about his wife.,[ 23 132 94 476 359 22 32 148 ], [sound:googletts-0b71bff3-9f936fab-fa13886e-313cf1d3-27ef060f.mp3],CardType::Sentence
y_~4F|Kb$<,Hvor længe har du været væk?,How long have you been away?,[ 93 264 6 7 114 425 ], [sound:googletts-459746cd-9375bf1e-269a5c81-c358f910-21e5a9ac.mp3],CardType::Sentence
bhUhrX}Nh$,Hvorfor løb han væk?,Why did he run away?,[ 333 341 23 425 ], [sound:googletts-bafe30cb-30e12bc9-7ec49320-98b796bc-df1939f6.mp3],CardType::Sentence
hT/AKY9zgi,Hvad er det smukkeste sprog i verden?,What's the most beautiful language in the world?,[ 38 1 12 357 149 4 324 ], [sound:googletts-7dfc1b5f-92fb6f73-a09bb17f-54479f09-cf86068e.mp3],CardType::Sentence
OF[jq:]i9U,Tom har kendt Mary længe.,Tom has known Mary a long time.,[ 80 6 380 75 264 ], [sound:googletts-be470843-dabeb407-42978778-e0c59af1-cf46ee04.mp3],CardType::Sentence
jXp.;r^^q7,Jeg hader mine forældre.,I hate my parents.,[ 11 161 81 428 ], [sound:googletts-b9f72ed6-0ce49a0d-34524d98-5ac2e28e-a605087b.mp3],CardType::Sentence
x?LQ#Y%u!!,Hvor hjalp du dem?,Where did you help them?,[ 93 434 7 171 ], [sound:googletts-ac2cb0b3-f72a9990-21263180-bc09ec32-d5f00a6c.mp3],CardType::Sentence
zTdGLazlpz,Jeg mødte Tom på vej til skole.,I met Tom on my way to school.,[ 11 285 80 9 286 8 300 ], [sound:googletts-4d0ad865-422c8ad8-3493b093-466abdff-83404214.mp3],CardType::Sentence
l.k>Pb#cp/,Hvordan har du lært at tale fransk så godt?,How did you learn to speak French so well?,[ 278 6 7 548 3 64 100 21 78 ], [sound:googletts-9b8596f0-efc6d3f7-7f8be20c-69510213-076516ac.mp3],CardType::Sentence
HVvvDsM:r*,Hvor længe har I været væk?,How long have you been away?,[ 93 264 6 4 114 425 ], [sound:googletts-73de1a64-89ba5e6a-18bbec96-ba9980c4-5657062a.mp3],CardType::Sentence
j~^9Kl9pKq,Jeg sidder og spiser.,I am eating.,[ 11 393 16 119 ], [sound:googletts-daf62e5e-32bcbb06-d3cf568e-8a0b2ad8-58d2d139.mp3],CardType::Sentence
A}V9?)y?P/,Er du sikker på at du ikke har glemt noget?,Are you sure you haven't forgotten anything?,[ 1 7 458 9 3 7 5 6 369 41 ], [sound:googletts-5a5d6f72-29ab1f81-d923d918-e4ff3806-c00ac07d.mp3],CardType::Sentence
g_?ox(YCm=,Tom kan komme når som helst.,Tom may come at any time.,[ 80 13 131 139 27 543 ], [sound:googletts-5befa46b-a93d9f68-567fdd48-7cf2c19b-3680da94.mp3],CardType::Sentence
z[}Z2Ayd;/,Hvor glemte du dem?,Where did you forget them?,[ 93 435 7 171 ], [sound:googletts-2d9a7f0f-7ca5657b-8907ace5-a13985f6-1168734e.mp3],CardType::Sentence
Lc)sxR}PXC,Du kan ikke svømme her.,You cannot swim here.,[ 7 13 5 423 50 ], [sound:googletts-5564efa5-50bbc9cc-735ae186-1ca2291c-789e92fa.mp3],CardType::Sentence
eR_g&TA^uF,"Nogle mennesker kan lide katte, andre foretrækker hunde.","Some people like cats, and others prefer dogs.",[ 122 194 13 33 314 270 336 477 ], [sound:googletts-5823e999-cb0ab722-33bd3a4c-b0b96908-784c0dc8.mp3],CardType::Sentence
AFda}z|w@g,Taler dine forældre fransk?,Do your parents speak French?,[ 49 99 428 100 ], [sound:googletts-699f44b8-c3349ffa-8e37fac2-30f3d433-7ac7e681.mp3],CardType::Sentence
f4@8Gc^&$[,Jeg så slet intet.,I saw nothing at all.,[ 11 21 388 162 ], [sound:googletts-a6c2bd2e-f07e8f51-713ff249-7e85a478-7db906f6.mp3],CardType::Sentence
sv>c%tEYf@,Aldrig i verden!,No way!,[ 61 4 324 ], [sound:googletts-8d11f555-cdec9e3c-726e3ec3-9f702b5f-e4a70451.mp3],CardType::Sentence
Og){4-sxHL,Hvor lang tid tog det dig at oversætte denne bog?,How long did it take you to translate this book?,[ 93 271 153 55 12 31 3 671 52 140 ], [sound:googletts-96b6628f-27bca8dc-e8da1baa-f4047800-1d7bb7be.mp3],CardType::Sentence
tHNAAv:mWH,Kan du ikke gøre dig forståelig på fransk?,Can you make yourself understood in French?,[ 13 7 5 115 31 635 9 100 ], [sound:googletts-8e2b78f4-90c6e1cc-0b5abd49-737ac06f-81eca91f.mp3],CardType::Sentence
cGiKSqQKvu,Tom så vred ud.,Tom looked angry.,[ 80 21 401 58 ], [sound:googletts-f5f2ee35-0e8c25ca-e89add6c-26a98370-96e86204.mp3],CardType::Sentence
EkR2P?z;uJ,Det er fordi du er en pige.,That's because you're a girl.,[ 12 1 168 7 1 2 481 ], [sound:googletts-670e05d3-34fa5816-1406241a-5e2b7805-ef0f88e7.mp3],CardType::Sentence
pt$bAH$_jG,Tom køber et nyt hus næste år.,Tom is buying a new house next year.,[ 80 349 15 507 214 245 92 ], [sound:googletts-4462c5a8-c0205386-9db12de8-6974f1c8-e635fa68.mp3],CardType::Sentence
e2FAxS.Pb4,Jeg skylder ikke nogen noget.,I don't owe anyone anything.,[ 11 454 5 124 41 ], [sound:googletts-9d7c8f96-bdcb4121-a7aea254-2df14c9c-03f75ead.mp3],CardType::Sentence
zv5/|Un<M9,Jeg vidste ikke at du ikke kunne synge.,I didn't know you couldn't sing.,[ 11 186 5 3 7 5 42 536 ], [sound:googletts-0d4df1f2-b29e338e-51c51871-5aa4c691-8e7cd19d.mp3],CardType::Sentence
QNbSwR512&,Jeg er gammel nok til at bo for mig selv.,I'm old enough to live by myself.,[ 11 1 150 258 8 3 462 10 19 255 ], [sound:googletts-10da2869-fd4c5865-7e0dc135-45435082-5bb84105.mp3],CardType::Sentence
"umh,c1651=",Tom er en ven af en af mine venner.,Tom is a friend of a friend of mine.,[ 80 1 2 209 14 2 14 81 604 ], [sound:googletts-4a6dea30-172c3f96-41eea724-b618cd24-13a3a180.mp3],CardType::Sentence
w/XHR9vI{W,Har du noget varmt at drikke?,Do you have anything hot to drink?,[ 6 7 41 367 3 251 ], [sound:googletts-262bd7b3-22617fa0-c06d854b-25f64568-270aafe4.mp3],CardType::Sentence
qbU1Z7:B.J,Jeg kunne ikke forstå et ord.,I couldn't understand a word.,[ 11 42 5 421 15 205 ], [sound:googletts-ce324144-8e4435a3-9353f9bc-030fa15b-de34a295.mp3],CardType::Sentence
t4}xgOlL*B,Synes du at engelsk er svært?,Do you think English is difficult?,[ 217 7 3 276 1 305 ], [sound:googletts-92569f98-2ba84827-61dcf0d6-7c4cf545-cdde63f6.mp3],CardType::Sentence
J#&*jDp6nx,Jeg kørte i bil til arbejde.,I went to work by car.,[ 11 448 4 152 8 210 ], [sound:googletts-98cebf20-81d40cb5-5ebb79a9-4d49ef8c-6d249c84.mp3],CardType::Sentence
M`mr4rnp;0,Han lærte mig at skrive.,He taught me how to write.,[ 23 441 19 3 136 ], [sound:googletts-6681a506-78d4ae54-ee36af8e-4426b1aa-a10957f1.mp3],CardType::Sentence
IkC{xCGTh-,Har du nogensinde hørt nogen tale esperanto?,Have you ever heard someone speaking in Esperanto?,[ 6 7 163 228 124 64 561 ], [sound:googletts-880a48ac-72668729-3a6b568b-119f3aa0-67f17c46.mp3],CardType::Sentence
B<tF:j8qK|,Det kan du glemme alt om!,No way!,[ 12 13 7 502 118 22 ], [sound:googletts-d8cdb963-fde7215e-b4c9f276-43996973-50b27808.mp3],CardType::Sentence
q>P}vX`E0%,Det vil tage mig for lang tid at forklare dig hvorfor det ikke ville virke.,It would take me too much time to explain to you why it's not going to work.,[ 12 20 101 19 10 271 153 3 495 31 333 ], [sound:googletts-627d47d2-c523cbb7-b1c26b62-15bb5b8d-85255c59.mp3],CardType::Sentence
ik}Rhg|!AE,Vi studerer fransk.,We study French.,[ 46 370 100 ], [sound:googletts-babfeb9c-65737f4e-f83e1f24-53ad5a84-da767613.mp3],CardType::Sentence
t:-o=W[[aX,Jeg kan lide dine øjne!,I like your eyes!,[ 11 13 33 99 452 ], [sound:googletts-f7d0fe1a-e6b8dd6b-3d6b3b1d-604a345d-9ce2ad33.mp3],CardType::Sentence
wZ^lyy)xuZ,Han tog sin hat på.,He put on his hat.,[ 23 55 32 443 9 ], [sound:googletts-8ec3a324-ba44edb1-e6076af7-f95c366c-6b60acf9.mp3],CardType::Sentence
q[*Z|bP=1m,Tror du det vil regne i dag?,Do you think it'll rain today?,[ 74 7 12 20 574 4 87 ], [sound:googletts-330e24be-07229481-f37ef499-f5f633bf-d0f9b76e.mp3],CardType::Sentence
zie#y]yaPN,Kun nogle få forstod hvad han sagde.,Only a few understood what he said.,[ 85 122 82 617 38 23 104 ], [sound:googletts-d0011da5-93f819c4-660a22d4-03560555-7091d616.mp3],CardType::Sentence
o>$}LYXm!J,Min bedstefar døde for tre år siden.,My grandfather died three years ago.,[ 25 606 203 10 103 92 177 ], [sound:googletts-25ef296d-03c687cb-0c827a46-6305e136-2f94a35c.mp3],CardType::Sentence
bM3Pj(+vpw,"Hun er to år gammel, men hun kan allerede tælle til 100.","She is two years old, but she can already count to 100.",[ 39 1 44 92 150 45 39 13 141 819 8 ], [sound:googletts-20f6d504-5f95cb2e-c5d12539-0dd09bd7-e3e8c8d5.mp3],CardType::Sentence
s)aXg?*i}),Tom hjælper mig i fransk.,Tom helps me in French.,[ 80 466 19 4 100 ], [sound:googletts-bf245264-5a5fb021-9fda55f3-a962c1f8-768bd6c7.mp3],CardType::Sentence
rD.mak<;!s,Jeg lever her.,I live here.,[ 11 330 50 ], [sound:googletts-34f0ad95-d5e98bd1-7f9b82aa-7bb67131-be628c77.mp3],CardType::Sentence
GJH2EA%|Kw,Jeg er glad for at se dig!,I'm glad to see you!,[ 11 1 562 10 3 54 31 ], [sound:googletts-f7b53111-5f6e77a0-4c489129-62b99f88-d17c9805.mp3],CardType::Sentence
pvaCFG&VG1,Jeg er glad for at lære sprog.,I like learning languages.,[ 11 1 562 10 3 121 149 ], [sound:googletts-7a21f27c-915f2c11-9d08a33f-d4fac852-3852c006.mp3],CardType::Sentence
QDp[0dL_7L,Dit hus er stort.,Your house is big.,[ 89 214 1 409 ], [sound:googletts-c80d6415-245f4e3d-4ae12963-c361a556-4bc5b48d.mp3],CardType::Sentence
G^#ad>X%NY,Tom blev ked af det da han opdagede at Mary var en golddigger og Mary blev ked af det da hun opdagede at Tom var fattig.,Tom was sad when he discovered that Mary was a gold digger and Mary was sad when she discovered that Tom was poor.,[ 80 35 392 14 12 95 23 583 3 75 18 ], [sound:googletts-fd932f84-0e9f6e06-21530aed-f7428575-876b7783.mp3],CardType::Sentence
q94hX_;R2a,Jeg mødte en ældre kvinde.,I met an elderly woman.,[ 11 285 2 223 345 ], [sound:googletts-43ecc48e-9ceb1ac4-78a5fa88-8ab2caa0-343a3a4b.mp3],CardType::Sentence
b?`A?t4KF(,"Du må ikke røre ved den, da den går let i stykker.","You mustn't touch it, because it'll break easily.",[ 7 102 5 751 26 24 95 24 43 219 4 ], [sound:googletts-7c93307c-d2f82a27-9fa134ab-532f6807-3eea90b3.mp3],CardType::Sentence
Lv?^1EEXNP,Jeg bebrejder Tom for hvad der skete med os alle.,I blame Tom for what happened to all of us.,[ 11 639 80 10 38 28 277 17 73 70 ], [sound:googletts-1460f587-628f5b65-f9be177a-a474691b-7bdf33d5.mp3],CardType::Sentence
J!}:acb)wv,Jeg spiste det.,I ate it.,[ 11 312 12 ], [sound:googletts-39ba3d53-16300f48-b1b703dc-4ed32606-7e444f58.mp3],CardType::Sentence
JEwJ!a~xv0,Vi lærer fransk i skolen.,We learn French at school.,[ 46 268 100 4 390 ], [sound:googletts-73cb3f22-f17a1757-221ade56-7da67d04-f64e8c34.mp3],CardType::Sentence
kgV&RZ9#Ao,"Du må ikke røre ved det, da det går let i stykker.","You mustn't touch it, because it'll break easily.",[ 7 102 5 751 26 12 95 12 43 219 4 ], [sound:googletts-9c0e5e38-27f05084-0c78aa04-14646fcb-3aa7d299.mp3],CardType::Sentence
wg>CJC2]`|,Jeg vil gerne have at du læser dette engelske brev.,I want you to read this English letter.,[ 11 20 189 53 3 7 384 63 323 327 ], [sound:googletts-dfb1b1f3-b786b731-a1f43bf2-1add3601-22eeaca1.mp3],CardType::Sentence
j01?v.jm6?,Hvis bare jeg havde været lidt højere!,If only I'd been a little taller!,[ 185 181 11 60 114 225 653 ], [sound:googletts-8404ddcd-af4bcba6-5bc06f21-a2a3b20f-aedabc1d.mp3],CardType::Sentence
czHQs4t!Zb,Er hun smuk?,Is she beautiful?,[ 1 39 322 ], [sound:googletts-6832356f-86aebeca-773ede11-726c9759-b8b08853.mp3],CardType::Sentence
bC_R^(UFMM,Det her hat er din.,This hat is yours.,[ 12 50 443 1 30 ], [sound:googletts-cc5b9a14-947f20cc-bd1a04f8-eb0a2c93-35b4356b.mp3],CardType::Sentence
A:q_y:i{r=,Min bil er tysk.,My car is German.,[ 25 152 1 413 ], [sound:googletts-347c200b-1c39193f-a2ebc01e-744600f1-4f64756f.mp3],CardType::Sentence
qO@R05dH^6,Det er for varmt.,It's too hot.,[ 12 1 10 367 ], [sound:googletts-1616351d-ac01122d-5b994764-b2a5d40a-b19309aa.mp3],CardType::Sentence
G&ru3u?l{=,Tom har en masse franske bøger.,Tom has a lot of French books.,[ 80 6 2 410 230 257 ], [sound:googletts-ff7656ce-012fdbbc-6b18acdb-cfa923ce-ad5fedb7.mp3],CardType::Sentence
I0SLeD5CU:,Tom vil købe en gave til Mary.,Tom wants to buy a present for Mary.,[ 80 20 198 2 537 8 75 ], [sound:googletts-d1b82470-f51e7cc8-a6b20fba-ea039714-65917643.mp3],CardType::Sentence
zhJI1RJU`U,Vi har lært engelsk i tre år indtil nu.,We have been studying English for three years now.,[ 46 6 548 276 4 103 92 294 160 ], [sound:googletts-3eac6e2d-ba65fdaf-21872005-45620344-1cf0a4b1.mp3],CardType::Sentence
"b.umY,R-R%",Jeg har én bror.,I have one brother.,[ 11 6 371 187 ], [sound:googletts-88cdd325-c3acd0c5-f94556b1-7df25156-8d693604.mp3],CardType::Sentence
VMt8CCD[],Tom er stadig lige så fattig som han plejede at være.,Tom is still just as poor as he used to be.,[ 80 1 180 111 21 716 27 23 242 3 40 ], [sound:googletts-8b6a4548-7325f4e3-e258e501-b925a12b-f4606d1c.mp3],CardType::Sentence
mmN`K?]Bn&,Hun har boet alene siden hendes mand døde.,She has lived alone ever since her husband died.,[ 39 6 459 483 177 97 146 203 ], [sound:googletts-513fbc4b-13e32fbd-3ecec600-edf5553a-fd90c984.mp3],CardType::Sentence
